Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,908430405025,3.39,1.12,74.190025750
2,908409552138,3.39,1.12,74.215906396
3,908405595650,3.39,1.12,74.156702448
4,908440661444,3.39,1.12,74.301690361
5,908427547729,3.39,1.12,74.229380512
6,908416806257,3.39,1.12,74.186981961
7,908388786399,3.39,1.12,74.161439920
8,908385957473,3.39,1.12,74.168520300
9,908412297630,3.39,1.12,74.170680012
10,908398139145,3.38,1.13,74.233092702
