Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,43055446303,2.02,0.67,5.891409399
2,43051846179,2.02,0.67,5.899467875
3,43056375413,2.02,0.67,5.894794908
4,43056712597,2.02,0.66,5.902330861
5,43054108877,2.02,0.67,5.897476955
6,43057231291,2.02,0.67,5.887622178
7,43058489406,2.02,0.66,5.888340524
8,43055317371,2.02,0.66,5.887645154
9,43058997045,2.02,0.67,5.900039875
10,43058733961,2.02,0.66,5.893341227
