Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,123080752289,2.75,2.92,12.399213652
2,123065881260,2.75,2.92,12.378460959
3,123060894429,2.76,2.88,12.332541946
4,123071114206,2.75,2.90,12.359761854
5,123076450672,2.75,2.92,12.378132601
6,123068049776,2.75,2.92,12.385301847
7,123065799461,2.75,2.92,12.380007728
8,123066720713,2.75,2.94,12.395118125
9,123067688755,2.75,2.90,12.355688251
10,123065967757,2.76,2.89,12.343535001
