Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,33216801763,2.24,5.38,4.100494943
2,33224030696,2.25,5.34,4.088034887
3,33217057047,2.24,5.34,4.100916482
4,33224219250,2.24,5.36,4.094618381
5,33228905217,2.25,5.35,4.095023000
6,33225926461,2.24,5.39,4.110283014
7,33224112812,2.26,5.26,4.067553623
8,33218844229,2.24,5.37,4.099718038
9,33222393921,2.25,5.28,4.084256846
10,33221818944,2.24,5.38,4.105039314
