Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,122585948797,2.84,2.57,11.940361876
2,122631317612,2.86,2.47,11.862082528
3,122640273451,2.87,2.41,11.817400865
4,122630570745,2.87,2.43,11.858551658
5,122631964253,2.87,2.43,11.836249565
6,122627156420,2.86,2.45,11.843786355
7,122631064593,2.87,2.42,11.810160793
8,122627759382,2.86,2.45,11.868461235
9,122657357438,2.86,2.45,11.883092902
10,122629725679,2.87,2.44,11.856764614
