Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,32993941545,2.61,3.07,3.501228360
2,32997383200,2.56,3.32,3.567525666
3,32996756759,2.55,3.35,3.571099428
4,32999984693,2.58,3.23,3.541197178
5,32999384960,2.57,3.30,3.560142224
6,32996591294,2.56,3.34,3.570676991
7,33001987938,2.55,3.38,3.579983893
8,32995889537,2.57,3.24,3.566659482
9,32999123317,2.55,3.36,3.575347835
10,32988959074,2.55,3.37,3.575228261
