Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,362686275173,3.12,1.77,32.143069924
2,362726477283,3.13,1.75,32.082128224
3,362683939421,3.12,1.77,32.184711330
4,362698486873,3.12,1.76,32.169691748
5,362707774559,3.12,1.76,32.177699604
6,362686994723,3.12,1.75,32.086354858
7,362703784981,3.12,1.76,32.166509617
8,362682631596,3.12,1.77,32.174121579
9,362678360719,3.12,1.76,32.116132564
10,362690029810,3.12,1.76,32.114652787
