Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
,362007380452,2.44,1.68,30.527519732
,362007051953,2.44,1.69,30.409884131
,362009412525,2.43,1.69,30.513721873
,362008325537,2.43,1.69,30.514089548
,362008181816,2.43,1.70,30.566241202
,365221565413,1.00,1.67,37.785518613
,365216958628,1.00,1.66,37.970011265
,365151022235,1.01,1.67,37.316245919
,365228449481,1.00,1.65,37.571436960
,365262603757,1.11,1.64,34.006605583
,373176326020,0.42,1.56,46.700471540
,372663471384,0.44,1.56,44.998901398
,373309688741,0.41,1.56,47.659089946
,373420434187,0.41,1.56,48.443313641
,373538258517,0.41,1.55,48.771018325
,396780779798,0.16,1.27,65.689957090
,393748545833,0.17,1.29,61.600861450
,396834966766,0.16,1.25,65.060641965
,391711386005,0.17,1.32,59.719659913
,392989318686,0.17,1.30,62.380846817
