Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,42917028880,2.07,0.63,5.730407228
2,42918007363,2.07,0.63,5.732160799
3,42921632887,2.07,0.63,5.727927383
4,42919874296,2.07,0.63,5.731048258
5,42920214603,2.07,0.63,5.730002250
6,42917772809,2.07,0.63,5.748782389
7,42918660029,2.07,0.63,5.737462876
8,42916112221,2.07,0.63,5.730581828
9,42914646389,2.07,0.63,5.732337599
10,42916702956,2.07,0.63,5.732149712
