Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,164258114916,2.02,0.37,22.468404018
2,164256450638,2.02,0.37,22.461818631
3,164261486712,2.02,0.37,22.462499348
4,164262256586,2.02,0.37,22.474632632
5,164258150830,2.02,0.37,22.481596220
6,164262713991,2.02,0.37,22.466073430
7,164263674071,2.02,0.37,22.467320550
8,164256338472,2.02,0.37,22.484877922
9,164257780567,2.02,0.37,22.485079750
10,164254123242,2.02,0.37,22.486150491
