Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,361916268373,3.19,1.56,31.388806105
2,361926185721,3.19,1.54,31.325219193
3,361920396882,3.19,1.54,31.347028011
4,361928620518,3.19,1.54,31.357569155
5,361926957802,3.20,1.51,31.254284237
6,361918251264,3.19,1.54,31.351607329
7,361941213498,3.19,1.54,31.350921481
8,361918549600,3.19,1.54,31.346876616
9,361918686544,3.19,1.55,31.367367639
10,361953786254,3.19,1.54,31.405064138
