Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,165915375506,2.10,0.36,21.851071524
2,165927529502,2.10,0.36,21.888501629
3,165920097881,2.10,0.36,21.858338116
4,165918530318,2.10,0.36,21.855309183
5,165923313517,2.10,0.36,21.854850662
6,165919382843,2.10,0.36,21.854073390
7,165921934169,2.10,0.36,21.853867559
8,165918462340,2.10,0.36,21.867577864
9,165916382870,2.10,0.36,21.855135526
10,165916826229,2.10,0.36,21.850379476
