Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
,907291748096,2.57,1.15,71.798889341
,907291580373,2.57,1.15,71.689670729
,907290574390,2.57,1.14,71.763108858
,907290961550,2.57,1.15,71.655461916
,907290210006,2.57,1.15,71.667376170
,915014790667,1.05,1.13,89.032703673
,915085028332,1.14,1.12,82.200661384
,915074982792,1.08,1.14,86.824405273
,914998414553,1.05,1.13,89.401308346
,915034888617,1.03,1.13,90.834523950
,930110319545,0.52,1.07,94.838388945
,931656398120,0.49,1.06,99.809383488
,931565033660,0.50,1.08,99.014419466
,930931770070,0.50,1.06,97.592624302
,931712915464,0.49,1.06,99.341875756
,970402295797,0.22,0.95,119.715303044
,959573174947,0.22,1.01,114.217307155
,977324341041,0.21,0.90,124.261529961
,964972091756,0.23,0.94,113.010148466
,968699826888,0.22,0.92,117.013318912
