Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
1,907247871657,3.47,0.99,72.341358334
2,907183349153,3.47,0.99,72.462758432
3,907206608837,3.47,0.98,72.363961614
4,907212731237,3.47,0.97,72.325739624
5,907132171791,3.45,1.04,72.723379214
6,907194795853,3.47,0.98,72.472942685
7,907183499731,3.47,0.98,72.369695773
8,907193232169,3.47,0.98,72.267490535
9,907213413404,3.47,0.97,72.177673932
10,907228433246,3.47,0.98,72.239905305
