N value, thread number, Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
5324, 2, 1,13339713187445,2.31,0.26,765.162286895
5324, 4, 1,13405815063130,1.85,0.26,451.594434636
5324, 8, 1,13484536201801,1.49,0.25,267.607568324
6912, 2, 1,22444086700113,2.47,0.21,1269.017155078
6912, 4, 1,22520242611573,2.09,0.21,759.420966387
6912, 8, 1,22629647567918,1.71,0.20,432.230435201
10976, 2, 1,56493837225714,2.63,0.14,3158.160806270
10976, 4, 1,56570336583568,2.42,0.14,1914.170061960
10976, 8, 1,56714032445855,2.09,0.14,1089.217728961
