Iteration number, Number of instructions, Ins per cycle, Percentage of misses, Seconds time elapsed
,33043484222,1.84,5.93,3.635660204
,33043007022,1.84,5.94,3.629340971
,33042564679,1.84,5.92,3.642287367
,33042732243,1.83,6.02,3.640347262
,33042318256,1.84,5.98,3.641571907
,33422370003,0.64,5.70,5.316098865
,33408434750,0.65,5.64,5.237062710
,33425577735,0.66,5.65,5.132176190
,33432996411,0.63,5.70,5.447820931
,33438089659,0.67,5.63,5.111259310
,34595601858,0.23,4.86,8.047071663
,34983926243,0.20,4.75,8.995651064
,34843512917,0.21,4.72,8.768876254
,35021670304,0.20,4.54,9.142687200
,35062693100,0.20,4.71,9.422384970
,37954837892,0.09,3.58,10.713610780
,38205149860,0.09,3.47,11.353219244
,37981006501,0.09,3.54,10.864467043
,37937841594,0.09,3.59,10.843802774
,38070492908,0.09,3.55,10.862568495
